color,code_pt1,code_pt2,new_code,dg,uf,ff
Black,BLAC,,BLAC,TRUE,TRUE,TRUE
Blue,BLUE,,BLUE,TRUE,FALSE,FALSE
White,WHIT,,WHIT,TRUE,TRUE,TRUE
Gray,GRAY,,GRAY,TRUE,FALSE,FALSE
Green,GREE,,GREE,TRUE,FALSE,FALSE
Orange,ORAN,,ORAN,TRUE,FALSE,FALSE
Pink,PINK,,PINK,TRUE,FALSE,FALSE
Purple,PURP,,PURP,TRUE,TRUE,TRUE
Red,REDR,,REDR,TRUE,FALSE,FALSE
Yellow,YELL,,YELL,TRUE,FALSE,FALSE
Clear,CLEA,,CLEA,TRUE,FALSE,FALSE
Brown,BROW,,BROW,TRUE,FALSE,FALSE
Brown (dark),BR,DR,BRDR,FALSE,FALSE,FALSE
Brown (light),BR,LI,BRLI,FALSE,FALSE,FALSE
Brownish swirly,BR,SW,BRSW,FALSE,FALSE,FALSE
Blue (dark),BL,DR,BLDR,FALSE,TRUE,TRUE
Blue (light),BL,LI,BLLI,FALSE,TRUE,TRUE
Bluish swirly,BL,SW,BLSW,FALSE,FALSE,FALSE
Blurple,BL,PR,BLPR,FALSE,FALSE,FALSE
Blurple-ish swirly,BL,SW,BLSW,FALSE,FALSE,FALSE
Gray (dark),GY,DR,GYDR,FALSE,FALSE,FALSE
Gray (light),GY,LI,GYLI,FALSE,FALSE,FALSE
Grayish swirly,GY,SW,GYSW,FALSE,FALSE,FALSE
Green (dark),GR,DR,GRDR,FALSE,FALSE,FALSE
Green (light),GR,LI,GRLI,FALSE,FALSE,FALSE
Green (bright),GR,BR,GRBR,FALSE,TRUE,TRUE
Greenish swirly,GR,SW,GRSW,FALSE,FALSE,FALSE
Orange (dark),OR,DR,ORDR,FALSE,FALSE,FALSE
Orange (light),OR,LI,ORLI,FALSE,FALSE,FALSE
Orange (bright),OR,BR,ORBR,FALSE,TRUE,TRUE
Orangish swirly,OR,SW,ORSW,FALSE,FALSE,FALSE
Pink (dark),PK,DR,PKDR,FALSE,FALSE,FALSE
Pink (light),PK,LI,PKLI,FALSE,FALSE,FALSE
Pink (bright),PK,BR,PKBR,FALSE,FALSE,FALSE
Pinkish swirly,PK,SW,PKSW,FALSE,FALSE,FALSE
Purple (dark),PR,DR,PRDR,FALSE,FALSE,FALSE
Purple (light),PR,LI,PRLI,FALSE,FALSE,FALSE
Purple (bright),PR,BR,PRBR,FALSE,FALSE,FALSE
Purplish swirly,PR,SW,PRSW,FALSE,FALSE,FALSE
Red (dark),RD,DR,RDDR,FALSE,TRUE,TRUE
Red (light),RD,LI,RDLI,FALSE,FALSE,FALSE
Red (bright),RD,BR,RDBR,FALSE,FALSE,FALSE
Reddish swirly,RD,SW,RDSW,FALSE,FALSE,FALSE
"White (milky, clearish)",WH,MC,WHMC,FALSE,FALSE,FALSE
Yellow (dark),YW,DR,YWDR,FALSE,FALSE,FALSE
Yellow (light),YW,LI,YWLI,FALSE,FALSE,FALSE
Yellow (bright),YW,BR,YWBR,FALSE,TRUE,TRUE
Yellowish swirly,YW,SW,YWSW,FALSE,FALSE,FALSE